Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,PCA1,PCA2,Cluster
0,0,margarine with yoghurt,88,9.8,1.9,5.6,2.0,0.073,0.0,0.058,0.0,0.0,0.018,3.9,0.1,0.074,0.086,0.073,0.005,0.097,0.0,0.075,0.082,0.0,0.7,0.002,2.8,0.001,0.027,0.3,0.0,2.2,3.5,0.0,0.008,12.971,-0.933316240621912,0.9608325013733886,1
1,1,sunflower seed butter,99,8.8,0.7,6.2,1.6,3.7,1.7,2.8,0.9,0.0,0.065,0.1,0.0,0.021,0.005,0.0,0.075,1.1,0.2,0.013,0.4,0.0,3.7,0.0,10.2,0.3,0.7,49.8,0.3,106.6,92.2,0.075,0.8,27.5,-0.11709431881438141,0.4427698192945472,1
2,2,hazelnut oil,120,13.6,1.0,10.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.7143868043309765,1.3607736206499614,1
3,3,menhaden fish oil,1966,218.0,66.3,58.2,74.5,0.0,0.0,0.0,0.0,1135.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,8.734451384020364,15.08168395612581,2
4,4,cod liver fish oil,123,13.6,3.1,6.4,3.1,0.0,0.0,0.0,0.0,77.5,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,-0.7806779941237801,1.2006172623924545,1
5,5,sardine oil,123,13.6,4.1,4.6,4.3,0.0,0.0,0.0,0.0,96.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.7904461189001697,1.1605521066846676,1
6,6,cupu assu oil,120,13.6,7.2,5.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.8789628553127732,1.127363690751808,1
7,7,lard,115,12.8,5.0,5.8,1.4,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.089,12.8,-0.8629944628772233,1.1205475483653073,1
8,8,sesame butter,94,8.1,1.1,3.1,3.6,3.8,0.0,2.9,0.9,0.0,0.031,0.3,0.0,0.004,0.002,0.0,0.099,1.1,0.077,0.1,0.0,0.0,0.0,0.0,153.6,0.7,3.1,57.9,0.4,105.4,93.1,0.088,1.2,172.4,-0.12568739160243675,0.30279877896368756,1
9,9,margarine spread,59,6.7,1.2,2.3,2.8,0.1,0.0,0.082,0.0,0.1,0.019,7.0,0.0,0.0,0.067,0.0,0.084,0.0,0.051,0.049,0.0,0.0,0.6,0.073,0.6,0.045,0.078,0.1,0.0,0.6,5.0,0.0,0.054,7.547,-1.1000981951651025,0.6566006086509953,1
10,10,lard vegetable oil,115,12.8,5.2,5.7,1.4,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,-0.8641270798112141,1.1206524309958243,1
11,11,shortening,113,12.8,3.2,5.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,-0.8186408568313533,1.142061413478625,1
12,12,vegetable oil spread,75,8.4,1.7,2.7,3.7,0.1,0.0,0.007,0.0,0.1,0.081,5.3,0.1,0.098,0.052,0.088,0.06,0.081,0.0,0.5,0.092,0.0,3.0,0.022,2.9,0.0,0.0,0.3,0.0,2.2,4.2,0.0,0.0,11.613,-1.0118958862638674,0.7884799144064061,1
13,13,cottonseed oil,120,13.6,3.5,2.4,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.7796357247489015,1.106964407089199,1
14,14,vegetable oil spread fat free,6,0.5,0.015,0.1,0.3,0.4,0.0,0.2,0.0,0.2,0.1,13.7,0.1,0.015,0.004,0.069,0.079,0.002,0.0,0.077,0.051,0.0,0.8,0.062,5.7,0.052,0.041,0.6,0.0,4.5,7.5,0.0,0.044,7.001,-1.3947680495279984,0.1900804140515694,1
15,15,soy margarine,88,9.9,3.2,5.2,1.1,0.0,0.0,0.0,0.0,0.0,0.1,3.9,2.7,0.0,0.006,0.058,0.0,0.035,0.0,0.041,0.051,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.642,-0.9777684261521172,0.936461315328704,1
16,16,margarine with salt,100,11.3,2.1,5.4,3.4,0.017,0.0,0.031,0.0,0.0,0.1,2.3,2.1,0.1,0.001,0.063,0.08,0.094,0.054,0.0,0.036,0.013,0.0,1.3,0.068,0.4,0.0,0.059,0.4,0.0,0.7,2.5,0.0,13.618,-0.8646259464414892,1.054801446351899,1
17,17,margarine,102,11.5,2.2,5.5,3.5,0.018,0.0,0.037,0.0,0.0,0.091,2.3,2.1,0.1,0.084,0.065,0.02,0.093,0.034,0.0,0.076,0.098,0.0,1.3,0.059,0.4,0.0,0.073,0.4,0.0,0.7,2.6,0.0,13.719,-0.850734687330096,1.0753782193868653,1
18,18,salmon fish oil,123,13.6,2.7,3.9,5.5,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.7903137690598883,1.1126454820056841,1
19,19,nutmeg butter oil,1927,218.0,196.2,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,5.521384121500011,12.231344771934136,2
20,20,almond butter,98,8.9,0.7,5.2,2.2,3.0,0.7,3.4,1.6,0.0,0.037,0.3,0.0,0.039,0.017,0.0,0.2,0.5,0.016,0.072,0.0,0.0,3.9,0.0,55.5,0.1,0.6,44.6,0.3,81.3,119.7,0.054,0.5,73.0,-0.08372669825477788,0.3528129026954381,1
21,21,sour cream shoprite,60,5.0,3.5,1.0,1.0,1.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.187775336844622,0.5435200907492647,1
22,22,ucuhuba butter oil,120,13.6,11.6,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.9997976407535184,0.9392555686338626,1
23,23,chicken fat,115,12.8,3.8,5.7,2.7,0.0,0.0,0.0,0.0,10.9,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,12.8,-0.8309158602227605,1.136141197850526,1
24,24,herring fish oil,123,13.6,2.9,7.7,2.1,0.0,0.0,0.0,0.0,104.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.7714148539179058,1.2435438303963242,1
25,25,bacon grease,39,4.3,1.7,1.9,0.5,0.0,0.0,0.0,0.0,4.1,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,4.3,-1.2537530753407367,0.4886672022420063,1
26,26,turkey fat,45,5.0,1.5,2.1,1.2,0.0,0.0,0.0,0.0,5.1,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,5.0,-1.2081049635576862,0.5459662847590717,1
27,27,beef tallow,115,12.8,6.4,5.4,0.5,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,12.8,-0.8961961195689774,1.094281613991606,1
28,28,goose fat,45,5.0,1.4,2.8,0.6,0.0,0.0,0.0,0.0,5.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,5.0,-1.2054502323181233,0.5663444540008944,1
29,29,duck fat,44,5.0,1.7,2.5,0.6,0.0,0.0,0.0,0.0,5.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,5.0,-1.2153429995498657,0.5520802307918561,1
30,30,mutton tallow,45,5.0,2.4,2.0,0.4,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,5.0,-1.232123164196704,0.5296943782811372,1
31,31,grapeseed oil,120,13.6,1.3,2.2,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.7208560250465531,1.1349846583628873,1
32,32,sheanut oil,1927,218.0,101.6,95.9,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,8.11894194466447,16.0305287072523,2
33,33,almond oil,120,13.6,1.1,9.5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.7168551185377837,1.3302873533290314,1
34,34,sunflower oil,120,13.6,1.2,7.8,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.1,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,13.617,-0.7228858785902159,1.2780668008597345,1
35,35,cashew butter,94,7.9,1.6,4.7,1.3,4.4,0.8,2.8,0.3,0.0,0.071,0.5,0.0,0.065,0.099,0.0,0.042,0.3,0.2,0.059,0.0,0.0,0.1,0.093,6.9,0.4,0.8,41.3,0.1,73.1,87.4,0.056,0.8,23.1,-0.3242995136836399,0.4403363841519797,1
36,36,canola oil,124,14.0,1.0,8.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.132,-0.6733054869960544,1.3675381553255306,1
37,37,babassu oil,1927,218.0,177.0,24.9,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,5.977379455054268,12.827834229883564,2
38,38,teaseed oil,120,13.6,2.9,7.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.7644588897414527,1.237203516769962,1
39,39,avocado oil,124,14.0,1.6,9.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-0.706134043253609,1.362241895998225,1
40,40,vegetable palm kernel oil,117,13.6,11.1,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.9922160549491948,0.9604379782612507,1
41,41,coconut oil,117,13.6,11.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.029,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,13.661,-1.0195893861130068,0.9065888504013219,1
42,42,safflower oil,120,13.6,1.0,10.2,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.7184694798535578,1.34459868841799,1
43,43,vegetable oil,120,13.6,2.1,3.1,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.073,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,13.706,-0.7417133554003064,1.1461819703856642,1
44,44,apricot kernel oil,40,4.5,0.3,2.7,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,-1.206241817629071,0.5441241780731982,1
45,45,peanut oil,119,13.5,2.3,6.2,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.04,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.056,13.575,-0.7584836428724953,1.2123253782938015,1
46,46,poppyseed oil,120,13.6,1.8,2.7,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.7342984453804063,1.1405888044926893,1
47,47,flaxseed oil,120,13.6,1.2,2.5,9.2,0.0,0.0,0.086,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.081,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.086,13.729,-0.717588768939495,1.1362815613849526,1
48,48,tomatoseed oil,1927,218.0,42.9,49.7,115.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,9.678164393913944,15.679285607111604,2
49,49,wheat germ oil,120,13.6,2.6,2.1,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,-0.7513933876020451,1.1183197257120085,1
50,50,sesame oil,40,4.5,0.6,1.8,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,-1.2140870999694195,0.5158795692041891,1
51,51,corn granola oil,124,14.0,1.1,8.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-0.6924714530597923,1.3250306533215324,1
