food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_Nutrition,Nutrition_Density,Protein_Ratio,Carbohydrate_Ratio,Fat_Ratio,Micronutrient_Sum,Nutrient_to_Calorie,Fiber_to_Sugar_Ratio,Saturated_Fat_Ratio,PCA1,PCA2,Cluster
cream cheese,51,5.0,2.9,1.3,0.2,0.8,0.5,0.9,0.0,14.6,0.016,7.6,0.2,0.033,0.064,0.092,0.097,0.084,0.052,0.096,0.004,0.0,0.0,0.1,0.008,14.1,0.082,0.027,1.3,0.091,15.5,19.1,0.039,7.07,21.627,0.42405882352941177,0.07058823529411765,0.06274509803921569,0.8823529411764706,15.527,0.30445098039215684,0.0,0.58,-0.5042971997372454,2.762252881517614,1
neufchatel cheese,215,19.4,10.9,4.9,0.8,3.1,2.7,7.8,0.0,62.9,0.3,53.6,0.2,0.099,0.079,0.09,0.1,0.2,0.5,0.078,0.0,0.0,0.3,0.045,99.5,0.034,0.1,8.5,0.088,117.3,129.2,0.054,0.7,130.1,165.2,0.7683720930232557,0.14511627906976743,0.05767441860465117,0.8120930232558139,137.7,0.6404651162790698,0.0,0.5618556701030929,0.8109583506463748,2.8140583198141647,1
requeijao cremoso light catupiry,49,3.6,2.3,0.9,0.0,0.9,3.4,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.0,0.10204081632653061,0.0653061224489796,0.07346938775510205,0.6612244897959183,0.0,0.0,0.029411764705882356,0.6388888888888888,-0.6706651858745671,2.4073180702549943,1
ricotta cheese,30,2.0,1.3,0.5,0.002,1.5,0.091,1.5,0.0,9.8,0.017,14.7,0.075,0.019,0.079,0.091,0.027,0.041,0.016,0.007,0.006,0.0,0.001,0.011,0.097,41.2,0.097,0.096,4.0,0.024,30.8,43.8,0.035,5.196,35.698,1.1899333333333333,0.2,0.2,0.6,30.896,1.0298666666666667,0.0,0.65,-0.8868661238456037,1.8484766533294874,1
cream cheese low fat,30,2.3,1.4,0.6,0.042,1.2,0.9,1.2,0.0,8.1,0.046,10.0,0.016,0.08,0.062,0.049,0.026,0.08,0.1,0.003,0.0,0.036,0.009,0.019,22.2,0.072,0.008,1.2,0.098,22.8,37.1,0.034,0.053,27.007,42.778,1.4259333333333333,0.16,0.16,0.69,38.336,1.2778666666666667,0.0,0.6086956521739131,-0.8170532215177173,2.0115456220366466,1
cream cheese fat free,19,0.2,0.1,0.091,0.075,1.4,1.0,2.8,0.0,2.2,0.1,12.9,0.063,0.02,0.089,0.092,0.021,0.025,0.2,0.038,0.0,0.0,0.049,0.059,63.2,0.039,0.053,4.0,0.028,94.1,50.0,0.013,0.3,67.679,58.466,3.077157894736842,0.5894736842105263,0.29473684210526313,0.09473684210526316,54.0,2.8421052631578947,0.0,0.5,-1.241948861062797,0.3499471837219229,1
gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1,8.3,0.0,30.8,0.2,9.3,0.061,0.021,0.072,0.078,0.004,0.043,0.2,0.051,0.0,0.034,0.035,0.048,283.1,0.033,0.094,10.1,0.002,169.4,22.7,0.079,1.1,300.694,49.834,0.4296034482758621,0.28620689655172415,0.003448275862068966,0.7060344827586206,32.834,0.28305172413793106,0.0,0.5824175824175825,0.10177216626552305,2.5500672882740636,1
cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1,6.4,0.0,27.7,0.2,10.3,0.054,0.031,0.005,0.073,0.1,0.01,0.1,0.005,0.0,0.06,0.2,0.035,198.8,0.099,0.077,7.6,0.063,127.4,21.3,0.009,1.0,215.53,44.46000000000001,0.3934513274336284,0.2265486725663717,0.03185840707964602,0.7407079646017699,28.96,0.25628318584070797,0.0,0.5698924731182795,-0.0015772618210031883,2.599687515146407,1
parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,0.046,6.4,0.0,12.2,0.2,5.4,0.067,0.062,0.099,0.059,0.057,0.039,0.06,0.066,0.0,0.095,0.018,0.021,213.1,0.051,0.1,7.9,0.073,124.9,16.6,0.045,0.5,224.777,35.795,0.5041549295774648,0.36056338028169016,0.03380281690140845,0.5704225352112676,24.595000000000002,0.3464084507042254,0.0,0.6000000000000001,-0.37587038811083806,2.122278949680242,1
romano cheese,19,1.3,0.9,0.4,0.035,0.2,0.088,1.6,0.0,5.2,0.008,1.5,0.064,0.058,0.026,0.045,0.059,0.055,0.025,0.029,0.0,0.073,0.078,0.004,53.2,0.046,0.03,2.1,0.002,38.0,4.3,0.087,0.1,56.38,9.608,0.5056842105263158,0.3368421052631579,0.042105263157894736,0.6157894736842106,6.473,0.34068421052631576,0.0,0.6923076923076923,-0.8071221634891712,2.148942701521886,1
